WorldMonde,,,,,,,,,,,
Agricultural - Agricole,,90,91,94,98,100,102,105,109,109,110
Food - Alimentaire,,90,91,94,98,100,102,105,109,110,111
AfricaAfrique,,,,,,,,,,,
Agricultural - Agricole,,85,88,93,96,100,104,103,109,110,112
Food - Alimentaire,,84,88,93,96,100,105,103,110,111,113
AmericasAmériques,,,,,,,,,,,
Agricultural - Agricole,,90,90,94,99,100,101,106,107,106,109
Food - Alimentaire,,90,91,95,99,100,101,107,108,107,110
AsiaAsie,,,,,,,,,,,
Agricultural - Agricole,,88,89,93,96,100,104,108,112,114,115
Food - Alimentaire,,88,90,93,96,100,103,108,112,114,115
EuropeEurope,,,,,,,,,,,
Agricultural - Agricole,,98,98,96,103,99,98,97,102,102,98
Food - Alimentaire,,98,98,96,103,99,98,97,102,102,98
OceaniaOcéanie,,,,,,,,,,,
Agricultural - Agricole,,104,94,102,99,105,96,98,102,101,101
Food - Alimentaire,,102,93,102,100,105,95,99,104,102,102
"Region, country or area",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
WorldMonde,,,,,,,,,,
Agricultural – Agricole,95,95,96,99,100,101,103,105,104,104
Food - Alimentaire,95,95,96,99,100,101,103,105,105,104
AfricaAfrique,,,,,,,,,,
Agricultural - Agricole,93,95,97,98,100,102,99,102,101,100
Food - Alimentaire,93,94,97,98,100,102,99,103,101,101
AmericasAmériques,,,,,,,,,,
Agricultural - Agricole,94,94,96,100,100,100,104,104,102,104
Food - Alimentaire,94,94,97,100,100,100,104,104,102,104
AsiaAsie,,,,,,,,,,
Agricultural - Agricole,92,93,95,97,100,102,105,108,109,109
Food - Alimentaire,92,93,95,97,100,102,105,109,109,109
EuropeEurope,,,,,,,,,,
Agricultural - Agricole,99,99,96,103,99,98,97,102,101,97
Food - Alimentaire,99,99,96,103,99,98,97,102,101,97
OceaniaOcéanie,,,,,,,,,,
Agricultural - Agricole,110,99,105,101,105,94,94,96,94,92
Food - Alimentaire,109,97,106,102,105,93,95,98,95,94
