Food2,,,,,,,,,,
Produits alimentaires2 2004-06 = 100,,91,94,98,100,102,105,109,110,111
Quantities - Quantités,,,,,,,,,,
Cereals2,,,,,,,,,,
Céréales2 million t.,,2 033,2 092,2 281,2 269,2 237,2 355,2 525,2 494,2 458
Meat2,,,,,,,,,,
Viande2 million t.,,228,233,238,245,251,257,263,268,275
Séries,Unité ou base,2002,,2003,2004,2005,2006,2007,2008,2009,2010
Population•,Population,,,,,,,,,,
World population 1,,,,,,,,,,,
Population mondial 1,million,6 277,,6 353,6 429,6 506,6 584,6 662,6 740,6 818,6 896
Output / production,•Production,,,,,,,,,,
Gross domestic product,•Produit intérieur brut,,,,,,,,,,
GDP at current prices,billion US $,,,,,,,,,,
PIB aux prix courants,milliard $ E.-U.,33 429,,37 545,42 275,45 745,49 603,55 886,61 233,57 960,63 064
GDP per capita,US $,,,,,,,,,,
PIB par habitant,$ E.-U.,5 346,,5 932,6 600,7 057,7 562,8 420,9 119,8 533,9 178
GDP real rates of growth,,,,,,,,,,,
Taux de l’accroissement réels %,,2.1,,2.8,4.1,3.5,4.1,4.0,1.4,-2.3,4.0
Séries  Unité ou base,2002,2003,2004,2005,,2006,2007,2008,2009,2010
External trade • Commerce extérieur,,,,,,,,,,
Value – Valeur,,,,,,,,,,
"Imports, c.i.f.  billion US $",,,,,,,,,,
Importations c.a.f. milliard $ E.-U.,6 526,7 610,9 292,10 581,,12 159,14 033,16  224,12 472,15 085
"Exports, f.o.b.  billion US $",,,,,,,,,,
Exportations f.o.b. milliard $ E.-U.,6 402,7 453,9 074,10 352,,11 976,13 822,15 970,12 367,15 060
Volume: index of exports - Volume: indice des exportations,,,,,,,,,,
All commodities,,,,,,,,,,
Tous produits 2000 = 100,103,109,122,133,,148,157,165,142,165
Manufactures,,,,,,,,,,
Manufacturés 2000 = 100,103,111,128,139,,153,145,146,126,144
Unit value: index of exports4 - Valeur unitaure: indice des exportations4,,,,,,,,,,
All commodities,,,,,,,,,,
Tous produits 2000 = 100,97,107,116,121,,126,136,148,135,141
Manufactures,,,,,,,,,,
Produits manufactures 2000 = 100,98,104,110,111,,114,125,131,121,124
Finance • Finances,,,,,,,,,,
International reserves minus gold5 - Réserves internationales moins l’or5,,,,,,,,,,
All countries2 Tous les pays2  billion SDR milliard DTS,1 857.1,2 122.0,2 489.6,3 071.3,,3 527.9,4 275.1,4 813.5,5 447.2,6 263.3
Position in IMF2 Disponibilité au FMI2  billion US $ milliard $ E.-U.,89.8,98.8,86.6,40.8,,26.3,21.7,38.7,60.6,75.2
Foreign exchange2 Devises2  billion US $ milliard $ E.-U.,2 407.8,2 954.7,3 642.2,4 188.9,,5 123.9,6 585.4,7 196.4,7 950.6,9 023.7
SDR (special drawing rights)2  billion US $ DTS (droits de triage spéc.)2 milliard $ E.-U.,29.3,32.0,33.3,30.7,,32.3,33.9,33.0,319.8,314.6
1,Mid-year estimates.,1,Les estimations au milieu de l'année.
2,As of November 2012.,2,De novembre 2012.
3,Electricity generated by establishments for public or private use.,3,L’électricité produite par des entreprises d’utilisation publique ou
"",,,privée.
4,Indices computed in US dollars.,4,Indice calculé en dollars des Etats-Unis.
